<date>,<open>,<high>,<low>,<close>,<vol>
03.31.2009,1.3689394415225522936732143484830298961,1.3689394415225522936732143484830298961,1.3689394415225522936732143484830298961,1.3689394415225522936732143484830298961,149172853.02,
04.01.2009,.77798779906335999030989948159993679492,.77798779906335999030989948159993679492,.77798779906335999030989948159993679492,.77798779906335999030989948159993679492,121564504.66,
04.02.2009,.75468121153573392317303697932293337942,.75468121153573392317303697932293337942,.75468121153573392317303697932293337942,.75468121153573392317303697932293337942,114651116.94,
04.03.2009,.60040210986876434129829096331936575599,.60040210986876434129829096331936575599,.60040210986876434129829096331936575599,.60040210986876434129829096331936575599,128965206.68,
04.06.2009,.35766758486010982805438399947508934924,.35766758486010982805438399947508934924,.35766758486010982805438399947508934924,.35766758486010982805438399947508934924,140137866.25,
04.07.2009,.73899273556225111772607910342051317111,.73899273556225111772607910342051317111,.73899273556225111772607910342051317111,.73899273556225111772607910342051317111,164766910.26,
04.08.2009,1.0397987180654634041308912188818480366,1.0397987180654634041308912188818480366,1.0397987180654634041308912188818480366,1.0397987180654634041308912188818480366,157020029.82,
04.09.2009,.96039864352419480361069463132963416032,.96039864352419480361069463132963416032,.96039864352419480361069463132963416032,.96039864352419480361069463132963416032,118412321.86,
04.10.2009,.45160887638765397055373483240108407522,.45160887638765397055373483240108407522,.45160887638765397055373483240108407522,.45160887638765397055373483240108407522,143154921.94,
04.13.2009,.75764219234886010308540010302952457389,.75764219234886010308540010302952457389,.75764219234886010308540010302952457389,.75764219234886010308540010302952457389,167665815.6,
04.14.2009,1.3837968752623640811009106053030593789,1.3837968752623640811009106053030593789,1.3837968752623640811009106053030593789,1.3837968752623640811009106053030593789,237614796.84,
04.15.2009,1.56725313740477704977511757574397618,1.56725313740477704977511757574397618,1.56725313740477704977511757574397618,1.56725313740477704977511757574397618,305548830.25,
04.16.2009,.98508136954098428590771909719893112699,.98508136954098428590771909719893112699,.98508136954098428590771909719893112699,.98508136954098428590771909719893112699,199507484.37,
04.17.2009,.55873451721676067597039800227895283386,.55873451721676067597039800227895283386,.55873451721676067597039800227895283386,.55873451721676067597039800227895283386,134006163.81,
04.20.2009,.37201620758989234580062971637448244603,.37201620758989234580062971637448244603,.37201620758989234580062971637448244603,.37201620758989234580062971637448244603,179698244.13,
04.21.2009,.47346595154319346548187027968606130003,.47346595154319346548187027968606130003,.47346595154319346548187027968606130003,.47346595154319346548187027968606130003,134427679.1,
04.22.2009,.29934932032556203213358365611965205905,.29934932032556203213358365611965205905,.29934932032556203213358365611965205905,.29934932032556203213358365611965205905,95370247.49,
04.23.2009,.58648905547723216845853538601045494261,.58648905547723216845853538601045494261,.58648905547723216845853538601045494261,.58648905547723216845853538601045494261,152055398.07,
04.24.2009,.6385784544003813796041119320268859304,.6385784544003813796041119320268859304,.6385784544003813796041119320268859304,.6385784544003813796041119320268859304,209908645.56,
04.27.2009,.39702451608900029955333532060418669608,.39702451608900029955333532060418669608,.39702451608900029955333532060418669608,.39702451608900029955333532060418669608,197006758.19,
04.28.2009,.59119305550995457186332010679785893464,.59119305550995457186332010679785893464,.59119305550995457186332010679785893464,.59119305550995457186332010679785893464,163032002.22,
04.29.2009,.84028662213624324405961696715048903659,.84028662213624324405961696715048903659,.84028662213624324405961696715048903659,.84028662213624324405961696715048903659,192808028.41,
04.30.2009,.63558228540749957371505630750241659812,.63558228540749957371505630750241659812,.63558228540749957371505630750241659812,.63558228540749957371505630750241659812,180270999.66,
05.04.2009,.44491383774799394986683921321926452343,.44491383774799394986683921321926452343,.44491383774799394986683921321926452343,.44491383774799394986683921321926452343,113950220.89,
05.05.2009,.27928994399073436933863799571607823636,.27928994399073436933863799571607823636,.27928994399073436933863799571607823636,.27928994399073436933863799571607823636,82789110.86,
05.06.2009,.65769339306014946346057472393694328265,.65769339306014946346057472393694328265,.65769339306014946346057472393694328265,.65769339306014946346057472393694328265,97058746.47,
05.07.2009,.52883422023776973797121987676353795409,.52883422023776973797121987676353795409,.52883422023776973797121987676353795409,.52883422023776973797121987676353795409,86654346.91,
05.08.2009,.56925709597060532559640772577599674792,.56925709597060532559640772577599674792,.56925709597060532559640772577599674792,.56925709597060532559640772577599674792,184407982.52,
05.12.2009,.5785672778084981795756741807991732708,.5785672778084981795756741807991732708,.5785672778084981795756741807991732708,.5785672778084981795756741807991732708,138276368.05,
05.13.2009,.73676410707616135254555624303594136647,.73676410707616135254555624303594136647,.73676410707616135254555624303594136647,.73676410707616135254555624303594136647,137286847.11,
05.14.2009,.74496190159397186211001258189025415819,.74496190159397186211001258189025415819,.74496190159397186211001258189025415819,.74496190159397186211001258189025415819,122233514.98,
05.15.2009,.51553126587245798094054473758183715633,.51553126587245798094054473758183715633,.51553126587245798094054473758183715633,.51553126587245798094054473758183715633,123683133.02,
05.18.2009,.98897464638454808223821059878820858954,.98897464638454808223821059878820858954,.98897464638454808223821059878820858954,.98897464638454808223821059878820858954,179523748.61,
05.19.2009,1.0559838294935336737192819996906505153,1.0559838294935336737192819996906505153,1.0559838294935336737192819996906505153,1.0559838294935336737192819996906505153,114605864.92,
05.20.2009,1.2782435386114497234550513352863180384,1.2782435386114497234550513352863180384,1.2782435386114497234550513352863180384,1.2782435386114497234550513352863180384,100464980.2,
05.21.2009,.71476725870311329610144850392713166004,.71476725870311329610144850392713166004,.71476725870311329610144850392713166004,.71476725870311329610144850392713166004,112498441.95,
05.22.2009,.60303569112270804655148069820950185252,.60303569112270804655148069820950185252,.60303569112270804655148069820950185252,.60303569112270804655148069820950185252,145316217.98,
